sex,race,degree,relig,polparty,cappun,tvhours,owngun,gunlaw,age,chldidel
Male,White,NotHs,Other,Other,Favor,2,Yes,Oppose,69,2
Male,White,JunColl,Other,Independent,Favor,4,No,Favor,22,3
Male,White,HighSchool,Other,Republican,Favor,2,No,Favor,20,3
Female,White,HighSchool,Catholic,Democrat,Favor,2,Yes,Favor,50,2
Male,White,JunColl,Other,Independent,Oppose,0,No,Oppose,37,2
Male,White,HighSchool,Other,Independent,Oppose,0,No,Oppose,21,2
Male,Hispanic,Bachelor,Catholic,Independent,Favor,2,No,Favor,36,3
Male,White,Graduate,Catholic,Republican,Favor,2,No,Favor,27,2
Male,AfrAm,HighSchool,Protestant,Democrat,Oppose,3,No,Favor,24,2
Female,AfrAm,HighSchool,Protestant,Democrat,Oppose,6,No,Favor,44,2
Male,Other,Graduate,Other,Independent,Favor,1,No,Favor,54,2
Male,White,Bachelor,Other,Republican,Favor,2,No,Favor,37,2
Male,White,Bachelor,Protestant,Republican,Favor,1,Yes,Oppose,51,3
Male,White,Bachelor,Protestant,Independent,Oppose,3,Yes,Favor,73,2
Female,White,JunColl,Protestant,Independent,Oppose,4,No,Favor,52,2
Female,White,Bachelor,Catholic,Republican,Favor,1,No,Favor,44,2
Male,White,HighSchool,Catholic,Republican,Favor,2,Yes,Favor,56,2
Male,White,Graduate,Other,Independent,Favor,1,No,Favor,42,2
Female,White,HighSchool,Protestant,Republican,Favor,3,No,Favor,49,2
Female,Other,HighSchool,Other,Independent,Favor,1,No,Favor,22,4
Male,AfrAm,HighSchool,Protestant,Independent,Favor,2,Yes,Favor,52,3
Female,AfrAm,NotHs,Protestant,Democrat,Favor,1,No,Favor,53,2
Male,White,JunColl,Protestant,Republican,Favor,2,Yes,Favor,27,2
Male,White,Graduate,Jewish,Democrat,Favor,3,No,Favor,80,2
Male,White,Graduate,Jewish,Democrat,Favor,2,No,Favor,32,1
Male,White,HighSchool,Protestant,Republican,Oppose,5,No,Oppose,82,3
Female,White,Bachelor,Catholic,Democrat,Oppose,3,No,Favor,62,3
Male,White,Bachelor,Catholic,Independent,Oppose,2,No,Favor,55,3
Female,White,Graduate,Other,Democrat,Oppose,1,No,Favor,49,3
Female,AfrAm,Graduate,Protestant,Democrat,Oppose,3,No,Favor,33,2
Female,AfrAm,HighSchool,Protestant,Democrat,Favor,8,No,Favor,54,4
Male,Other,HighSchool,Other,Republican,Favor,2,No,Favor,39,4
Male,White,Bachelor,Protestant,Republican,Favor,1,No,Favor,55,2
Male,White,Bachelor,Protestant,Democrat,Favor,1,No,Favor,29,3
Male,White,HighSchool,Other,Democrat,Favor,1,No,Favor,64,3
Male,AfrAm,NotHs,Protestant,Democrat,Favor,8,Yes,Favor,71,6
Male,AfrAm,NotHs,Protestant,Independent,Favor,0,Yes,Favor,89,5
Female,Other,HighSchool,Other,Independent,Oppose,2,No,Favor,30,3
Female,White,HighSchool,Catholic,Republican,Favor,4,Yes,Favor,58,1
Male,White,HighSchool,Catholic,Republican,Favor,3,Yes,Favor,30,2
Male,White,Bachelor,Catholic,Republican,Oppose,1,Yes,Oppose,36,2
Male,White,HighSchool,Catholic,Independent,Favor,3,Yes,Favor,52,2
Female,White,HighSchool,Catholic,Independent,Favor,4,No,Favor,55,2
Male,White,Graduate,Protestant,Democrat,Oppose,1,No,Favor,56,2
Female,White,HighSchool,Catholic,Independent,Favor,4,No,Favor,76,4
Male,AfrAm,NotHs,Protestant,Independent,Favor,22,Yes,Favor,69,0
Male,White,NotHs,Protestant,Republican,Favor,3,Yes,Favor,54,2
Female,White,NotHs,Protestant,Democrat,Oppose,3,Yes,Favor,74,2
Male,White,NotHs,Other,Independent,Favor,2,Yes,Favor,39,1
Male,White,HighSchool,Protestant,Independent,Favor,3,Yes,Oppose,60,2
Male,White,HighSchool,Protestant,Republican,Favor,4,Yes,Oppose,60,2
Female,White,NotHs,Protestant,Democrat,Oppose,3,No,Oppose,61,2
Female,White,HighSchool,Other,Independent,Favor,5,Yes,Favor,22,2
Female,White,HighSchool,Protestant,Republican,Favor,3,No,Oppose,22,2
Female,White,HighSchool,Catholic,Republican,Oppose,5,No,Favor,74,2
Male,White,HighSchool,Protestant,Democrat,Favor,2,No,Oppose,23,3
Male,White,HighSchool,Protestant,Republican,Oppose,5,Yes,Favor,60,2
Male,White,NotHs,Protestant,Republican,Favor,1,Yes,Favor,55,4
Male,White,HighSchool,Protestant,Republican,Favor,3,Yes,Oppose,41,2
Female,AfrAm,NotHs,Protestant,Democrat,Favor,8,No,Favor,33,1
Male,White,NotHs,Protestant,Independent,Favor,1,No,Favor,39,2
Male,White,HighSchool,Catholic,Democrat,Favor,1,Yes,Favor,64,3
Male,White,JunColl,Catholic,Democrat,Favor,1,No,Favor,46,2
Male,White,HighSchool,Protestant,Republican,Favor,3,Yes,Favor,50,2
Female,White,HighSchool,Catholic,Republican,Favor,6,No,Favor,53,4
Female,White,HighSchool,Protestant,Democrat,Favor,2,Yes,Favor,43,4
Male,White,HighSchool,Protestant,Democrat,Favor,3,Yes,Favor,52,3
Female,White,HighSchool,Protestant,Independent,Favor,1,No,Favor,20,2
Female,White,Bachelor,Protestant,Republican,Favor,1,Yes,Oppose,40,3
Male,White,HighSchool,Catholic,Independent,Favor,4,Yes,Oppose,30,1
Male,White,HighSchool,Other,Independent,Favor,3,No,Favor,43,2
Male,White,HighSchool,Catholic,Democrat,Favor,3,Yes,Favor,23,2
Female,White,HighSchool,Catholic,Independent,Favor,4,Yes,Favor,40,2
Male,White,Graduate,Catholic,Independent,Favor,4,Yes,Favor,72,2
Female,White,HighSchool,Other,Independent,Favor,3,No,Favor,35,2
Male,White,HighSchool,Catholic,Democrat,Favor,4,Yes,Favor,45,3
Female,White,HighSchool,Protestant,Republican,Favor,4,No,Favor,31,2
Female,AfrAm,HighSchool,Protestant,Democrat,Oppose,3,No,Oppose,46,3
Female,White,HighSchool,Catholic,Democrat,Favor,2,No,Favor,27,2
